,data3,data2,hour,PM2.5,newi
2,Wednsday,1-1-2014,1,43,1
4,Wednsday,1-1-2014,3,82,1
6,Wednsday,1-1-2014,5,89,1
8,Wednsday,1-1-2014,7,31,1
10,Wednsday,1-1-2014,9,38,1
12,Wednsday,1-1-2014,11,25,1
14,Wednsday,1-1-2014,13,22,1
16,Wednsday,1-1-2014,15,19,1
18,Wednsday,1-1-2014,17,21,1
20,Wednsday,1-1-2014,19,52,1
22,Wednsday,1-1-2014,21,86,1
170,Wednsday,1-8-2014,1,8,2
172,Wednsday,1-8-2014,3,9,2
174,Wednsday,1-8-2014,5,11,2
176,Wednsday,1-8-2014,7,12,2
178,Wednsday,1-8-2014,9,12,2
180,Wednsday,1-8-2014,11,17,2
182,Wednsday,1-8-2014,13,18,2
184,Wednsday,1-8-2014,15,14,2
186,Wednsday,1-8-2014,17,16,2
188,Wednsday,1-8-2014,19,16,2
190,Wednsday,1-8-2014,21,18,2
192,Wednsday,1-8-2014,23,57,2
338,Wednsday,1-15-2014,1,139,3
340,Wednsday,1-15-2014,3,176,3
342,Wednsday,1-15-2014,5,72,3
344,Wednsday,1-15-2014,7,50,3
346,Wednsday,1-15-2014,9,41,3
348,Wednsday,1-15-2014,11,49,3
350,Wednsday,1-15-2014,13,44,3
352,Wednsday,1-15-2014,15,47,3
354,Wednsday,1-15-2014,17,60,3
356,Wednsday,1-15-2014,19,357,3
358,Wednsday,1-15-2014,21,463,3
360,Wednsday,1-15-2014,23,494,3
506,Wednsday,1-22-2014,1,141,4
508,Wednsday,1-22-2014,3,140,4
510,Wednsday,1-22-2014,5,114,4
512,Wednsday,1-22-2014,7,75,4
514,Wednsday,1-22-2014,9,65,4
516,Wednsday,1-22-2014,11,73,4
518,Wednsday,1-22-2014,13,96,4
520,Wednsday,1-22-2014,15,113,4
522,Wednsday,1-22-2014,17,117,4
524,Wednsday,1-22-2014,19,164,4
526,Wednsday,1-22-2014,21,179,4
528,Wednsday,1-22-2014,23,172,4
674,Wednsday,1-29-2014,1,59,5
676,Wednsday,1-29-2014,3,57,5
678,Wednsday,1-29-2014,5,67,5
680,Wednsday,1-29-2014,7,70,5
682,Wednsday,1-29-2014,9,83,5
684,Wednsday,1-29-2014,11,92,5
686,Wednsday,1-29-2014,13,125,5
688,Wednsday,1-29-2014,15,155,5
690,Wednsday,1-29-2014,17,171,5
692,Wednsday,1-29-2014,19,177,5
694,Wednsday,1-29-2014,21,189,5
696,Wednsday,1-29-2014,23,209,5
842,Wednsday,2-5-2014,1,63,6
844,Wednsday,2-5-2014,3,85,6
846,Wednsday,2-5-2014,5,142,6
848,Wednsday,2-5-2014,7,92,6
850,Wednsday,2-5-2014,9,59,6
852,Wednsday,2-5-2014,11,76,6
854,Wednsday,2-5-2014,13,77,6
856,Wednsday,2-5-2014,15,94,6
858,Wednsday,2-5-2014,17,87,6
860,Wednsday,2-5-2014,19,86,6
862,Wednsday,2-5-2014,21,78,6
864,Wednsday,2-5-2014,23,108,6
1010,Wednsday,2-12-2014,1,194,7
1012,Wednsday,2-12-2014,3,168,7
1014,Wednsday,2-12-2014,5,163,7
1016,Wednsday,2-12-2014,7,153,7
1018,Wednsday,2-12-2014,9,77,7
1020,Wednsday,2-12-2014,11,56,7
